id_municipio;departamento_id;nombre
1;2;Abejorral
2;24;Abrego
3;2;Abriaquí
4;22;Acacias
5;14;Acandí
6;19;Acevedo
7;7;Achí
8;19;Agrado
9;16;Agua de Dios
10;13;Aguachica
11;28;Aguada
12;9;Aguadas
13;11;Aguazul
14;13;Agustín Codazzi
15;19;Aipe
16;16;Albán
17;23;Albán
18;10;Albania
19;20;Albania
20;28;Albania
21;31;Alcalá
22;23;Aldana
23;2;Alejandría
24;21;Algarrobo
25;19;Algeciras
26;12;Almaguer
27;8;Almeida
28;30;Alpujarra
29;19;Altamira
30;14;Alto Baudo
31;7;Altos del Rosario
32;30;Alvarado
33;2;Amagá
34;2;Amalfi
35;30;Ambalema
36;16;Anapoima
37;23;Ancuyá
38;31;Andalucía
39;2;Andes
40;2;Angelópolis
41;2;Angostura
42;16;Anolaima
43;2;Anorí
44;9;Anserma
45;31;Ansermanuevo
46;2;Anza
47;30;Anzoátegui
48;2;Apartadó
49;27;Apía
50;16;Apulo
51;8;Aquitania
52;21;Aracataca
53;9;Aranzazu
54;28;Aratoca
55;3;Arauca
56;3;Arauquita
57;16;Arbeláez
58;23;Arboleda
59;24;Arboledas
60;2;Arboletes
61;8;Arcabuco
62;7;Arenal
63;2;Argelia
64;12;Argelia
65;31;Argelia
66;21;Ariguaní
67;7;Arjona
68;2;Armenia
69;26;Armenia
70;30;Armero
71;7;Arroyohondo
72;13;Astrea
73;30;Ataco
74;14;Atrato
75;15;Ayapel
76;14;Bagadó
77;14;Bahía Solano
78;14;Bajo Baudó
79;12;Balboa
80;27;Balboa
81;5;Baranoa
82;19;Baraya
83;23;Barbacoas
84;2;Barbosa
85;28;Barbosa
86;28;Barichara
87;22;Barranca de Upía
88;28;Barrancabermeja
89;20;Barrancas
90;7;Barranco de Loba
91;17;Barranco Minas
92;5;Barranquilla
93;13;Becerril
94;9;Belalcázar
95;8;Belén
96;23;Belén
97;14;Belén de Bajira
98;10;Belén de Los Andaquies
99;27;Belén de Umbría
100;2;Bello
101;2;Belmira
102;16;Beltrán
103;8;Berbeo
104;2;Betania
105;8;Betéitiva
106;2;Betulia
107;28;Betulia
108;16;Bituima
109;8;Boavita
110;24;Bochalema
111;6;Bogotá D.C.
112;16;Bojacá
113;14;Bojaya
114;12;Bolívar
115;28;Bolívar
116;31;Bolívar
117;13;Bosconia
118;8;Boyacá
119;2;Briceño
120;8;Briceño
121;28;Bucaramanga
122;24;Bucarasica
123;8;Buena Vista
124;31;Buenaventura
125;15;Buenavista
126;26;Buenavista
127;29;Buenavista
128;12;Buenos Aires
129;23;Buesaco
130;31;Bugalagrande
131;2;Buriticá
132;8;Busbanzá
133;16;Cabrera
134;28;Cabrera
135;22;Cabuyaro
136;17;Cacahual
137;2;Cáceres
138;16;Cachipay
139;24;Cachirá
140;24;Cácota
141;2;Caicedo
142;31;Caicedonia
143;29;Caimito
144;30;Cajamarca
145;12;Cajibío
146;16;Cajicá
147;7;Calamar
148;18;Calamar
149;26;Calarcá
150;2;Caldas
151;8;Caldas
152;12;Caldono
153;31;Cali
154;28;California
155;31;Calima
156;12;Caloto
157;2;Campamento
158;5;Campo de La Cruz
159;19;Campoalegre
160;8;Campohermoso
161;15;Canalete
162;5;Candelaria
163;31;Candelaria
164;7;Cantagallo
165;2;Cañasgordas
166;16;Caparrapí
167;28;Capitanejo
168;16;Caqueza
169;2;Caracolí
170;2;Caramanta
171;28;Carcasí
172;2;Carepa
173;30;Carmen de Apicala
174;16;Carmen de Carupa
175;14;Carmen del Darien
176;2;Carolina
177;7;Cartagena
178;10;Cartagena del Chairá
179;31;Cartago
180;32;Caruru
181;30;Casabianca
182;22;Castilla la Nueva
183;2;Caucasia
184;28;Cepitá
185;15;Cereté
186;8;Cerinza
187;28;Cerrito
188;21;Cerro San Antonio
189;14;Cértegui
190;23;Chachagüí
191;16;Chaguaní
192;29;Chalán
193;11;Chámeza
194;30;Chaparral
195;28;Charalá
196;28;Charta
197;16;Chía
198;2;Chigorodó
199;15;Chimá
200;28;Chimá
201;13;Chimichagua
202;24;Chinácota
203;8;Chinavita
204;9;Chinchiná
205;15;Chinú
206;16;Chipaque
207;28;Chipatá
208;8;Chiquinquirá
209;8;Chíquiza
210;13;Chiriguaná
211;8;Chiscas
212;8;Chita
213;24;Chitagá
